timestamp,mmsi,vessel_name,vessel_type,draught_m,lat,lon,sog_knots,cog_degrees
2020-05-11T14:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.4,-89.45,13.89,40.0
2020-05-11T14:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.403645833333332,-89.44739583333333,13.55,40.0
2020-05-11T15:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.407291666666666,-89.44479166666667,13.01,40.0
2020-05-11T15:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.4109375,-89.4421875,13.84,40.0
2020-05-11T15:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.414583333333333,-89.43958333333333,14.34,40.0
2020-05-11T15:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.418229166666666,-89.43697916666667,13.8,40.0
2020-05-11T16:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.421875,-89.434375,14.17,40.0
2020-05-11T16:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.425520833333334,-89.43177083333333,13.24,40.0
2020-05-11T16:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.429166666666667,-89.42916666666667,13.21,40.0
2020-05-11T16:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.432812499999997,-89.4265625,14.34,40.0
2020-05-11T17:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.43645833333333,-89.42395833333333,14.17,40.0
2020-05-11T17:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.440104166666664,-89.42135416666667,13.52,40.0
2020-05-11T17:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.443749999999998,-89.41875,14.2,40.0
2020-05-11T17:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.44739583333333,-89.41614583333333,13.11,40.0
2020-05-11T18:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.451041666666665,-89.41354166666667,13.78,40.0
2020-05-11T18:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.4546875,-89.4109375,14.32,40.0
2020-05-11T18:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.458333333333332,-89.40833333333333,14.27,40.0
2020-05-11T18:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.461979166666666,-89.40572916666667,13.56,40.0
2020-05-11T19:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.465625,-89.403125,13.34,40.0
2020-05-11T19:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.469270833333333,-89.40052083333333,14.3,40.0
2020-05-11T19:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.472916666666666,-89.39791666666667,13.4,40.0
2020-05-11T19:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.4765625,-89.3953125,14.23,40.0
2020-05-11T20:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.480208333333334,-89.39270833333333,13.4,40.0
2020-05-11T20:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.483854166666667,-89.39010416666667,14.48,40.0
2020-05-11T20:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.487499999999997,-89.3875,13.54,40.0
2020-05-11T20:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.49114583333333,-89.38489583333333,13.38,40.0
2020-05-11T21:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.494791666666664,-89.38229166666667,13.9,40.0
2020-05-11T21:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.498437499999998,-89.3796875,13.54,40.0
2020-05-11T21:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.50208333333333,-89.37708333333333,14.22,40.0
2020-05-11T21:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.505729166666665,-89.37447916666667,14.1,40.0
2020-05-11T22:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.509375,-89.371875,13.95,40.0
2020-05-11T22:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.513020833333332,-89.36927083333333,13.63,40.0
2020-05-11T22:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.516666666666666,-89.36666666666667,14.25,40.0
2020-05-11T22:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.5203125,-89.3640625,13.46,40.0
2020-05-11T23:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.523958333333333,-89.36145833333333,13.44,40.0
2020-05-11T23:15:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.527604166666666,-89.35885416666667,13.14,40.0
2020-05-11T23:30:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.53125,-89.35625,13.85,40.0
2020-05-11T23:45:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.534895833333334,-89.35364583333333,14.05,40.0
2020-05-12T00:00:00,367123450,GULF_EXPLORER_TANKER,Tanker,12.4,28.538541666666667,-89.35104166666667,14.07,40.0
